Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,154.37663709587434,-934.8791413647042,424.77757039833807,359.72404730617603,304.75416075606444,681.3132517889095,2980.989814019779,5.2280316356718535
No Battery,-141.21792809447794,-970.4140312876332,469.4720558869792,359.72404730617603,0.0,594.4060406629351,2919.0461841862525,5.778117610916667
Time Of Use,265.8534895673173,-1058.3099935450655,605.5754414192709,359.72404730617603,358.8639943869359,490.7730043158651,2860.362375131793,7.4532362020833345
Price Based,78.52264989305453,-921.7726050506551,598.5195375690105,359.72404730617603,42.05167006852312,621.5971359632673,2944.432803615468,7.366394308541667
Solar Following,769.6909714100252,-734.5121008471801,822.6935614010673,359.72404730617603,321.78546354996195,935.4155756333811,3293.115457104619,10.125459217243906
Peak Shaving,286.5226669664074,-901.4122875561144,713.699846739693,359.72404730617603,114.51106047665276,711.9133696948053,3056.0078784358348,8.7839981137193
