Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,3790.4630803409723,2393.690519978335,846.1339545018195,335.742444152431,214.8961617083869,1806.3113570424719,174.47416909131016,10.413956363099317
No Battery,3463.29370593094,2284.291365945176,843.2598958333333,335.742444152431,0.0,1793.2311292484717,184.63779662524985,10.378583333333333
Time Of Use,3515.672870117871,2288.5573668932093,843.2598958333333,335.742444152431,48.11316323889753,1785.5546411003716,184.63779662524985,10.378583333333333
Price Based,3500.43954556075,2303.371664402566,843.2598958333333,335.742444152431,18.065541172420076,1786.7795126453932,184.63779662524985,10.378583333333333
Solar Following,3664.778252232103,2362.85167540647,843.2598958333333,335.742444152431,122.92423683986894,1920.0545028060199,330.97939382297096,10.378583333333333
Peak Shaving,3578.1808645674037,2311.833698435887,867.0540253732112,335.742444152431,63.55069660587487,1858.0271621721765,261.0655339368233,10.671434158439522
