Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,57.37182036977339,-985.8270036364349,526.6325972231278,359.72404730617603,156.84217947690445,600.0440140691353,2536.3305414439587,6.481631965823111
No Battery,-122.72028017896133,-1001.5236411635228,519.0793136783855,359.72404730617603,0.0,586.5779555256015,2548.2025130716243,6.3886684760416665
Time Of Use,602.4124651794626,-1046.388917117816,930.2133406041667,359.72404730617603,358.8639943869359,577.752178460259,2584.325963298894,11.448779576666666
Price Based,20.981782878945538,-978.4291262342033,534.3048462070311,359.72404730617603,105.38201559994168,632.9514419838274,2613.168782734401,6.576059645624999
Solar Following,476.453278754992,-910.1982002615442,709.7557099005209,359.72404730617603,317.17172180983937,924.2268519379503,2915.3796651255793,8.735454891083334
Peak Shaving,221.04553340047255,-981.6207582121847,747.7069408927083,359.72404730617603,95.23530341377291,685.1609133286149,2661.2535628547653,9.202546964833333
