timestamp,power_status,supply_temp,return_temp,delta_temp_raw,delta_temp_clamped,brine_in_temp,brine_out_temp,outdoor_temp,desired_supply_temp,heat_output_kw,cop,power_input_kw
2025-05-19 18:30:00,0.0,27.666666666666668,23.0,4.666666666666668,4.666666666666668,,3.5,,,0.0,,0.0
2025-05-19 19:00:00,0.0,24.0,23.0,1.0,2.0,,,,,0.0,,0.0
2025-05-19 19:45:00,0.0,,,,,,,19.0,,0.0,,0.0
2025-05-19 20:00:00,0.0,22.0,22.0,0.0,2.0,6.0,,18.0,,0.0,,0.0
2025-05-19 21:00:00,0.0,29.0,24.0,5.0,5.0,5.0,3.0,,,0.0,,0.0
2025-05-19 22:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-19 22:30:00,1.0,22.0,22.0,0.0,2.0,6.0,,14.0,,4.598,4.75,0.968
2025-05-19 23:15:00,0.0,54.5,50.5,4.0,4.0,,2.0,,,0.0,,0.0
2025-05-19 23:30:00,0.0,48.833333333333336,42.142857142857146,6.69047619047619,6.69047619047619,4.0,2.5,13.0,,0.0,,0.0
2025-05-20 00:30:00,0.0,,,,,,5.0,,,0.0,,0.0
2025-05-20 01:30:00,0.0,22.0,22.0,0.0,2.0,,,,,0.0,,0.0
2025-05-20 02:00:00,0.0,29.0,,,,,,12.0,,0.0,,0.0
2025-05-20 02:45:00,1.0,23.0,23.0,0.0,2.0,5.0,5.0,,,4.598,4.75,0.968
2025-05-20 03:00:00,0.0,28.0,,,,,3.5,,25.0,0.0,,0.0
2025-05-20 03:45:00,1.0,30.0,,,,,3.0,,,0.0,,0.0
2025-05-20 04:00:00,0.0,25.0,24.5,0.5,2.0,4.0,4.0,,26.0,0.0,,0.0
2025-05-20 05:00:00,0.0,27.666666666666668,,,,,4.0,,,0.0,,0.0
2025-05-20 05:30:00,0.0,,,,,,,12.0,25.0,0.0,,0.0
2025-05-20 06:15:00,0.0,,,,,,,,,0.0,,0.0
2025-05-20 06:30:00,0.0,,,,,,,,,0.0,,0.0
2025-05-20 07:15:00,0.0,,,,,,,,,0.0,,0.0
2025-05-20 07:30:00,0.0,22.0,22.0,0.0,2.0,6.0,,,,0.0,,0.0
2025-05-20 08:30:00,1.0,44.5,31.714285714285715,12.785714285714285,10.0,5.0,1.5,,,22.99,4.75,4.7
2025-05-20 09:00:00,0.0,47.5,41.0,6.5,6.5,,,15.0,,0.0,,0.0
2025-05-20 09:45:00,1.0,54.0,50.0,4.0,4.0,,,,,9.196,4.75,1.936
2025-05-20 10:45:00,0.0,,22.0,,,4.0,,,,0.0,,0.0
2025-05-20 11:00:00,0.0,24.5,23.0,1.5,2.0,,2.75,,,0.0,,0.0
2025-05-20 12:00:00,1.0,,,,,,,,,0.0,,0.0
2025-05-20 12:30:00,0.0,,,,,,5.0,,,0.0,,0.0
2025-05-20 13:15:00,0.0,27.666666666666668,23.0,4.666666666666668,4.666666666666668,,3.0,,,0.0,,0.0
2025-05-20 13:30:00,0.0,29.0,24.0,5.0,5.0,,,,,0.0,,0.0
2025-05-20 19:00:00,1.0,23.0,23.0,0.0,2.0,5.0,5.0,17.0,24.0,4.598,4.75,0.968
2025-05-20 19:15:00,0.0,,,,,,,16.0,,0.0,,0.0
2025-05-20 19:30:00,0.0,22.0,,,,6.0,,,,0.0,,0.0
2025-05-20 20:30:00,0.0,24.5,,,,,2.5,14.0,,0.0,,0.0
2025-05-20 21:00:00,1.0,,,,,,,,,0.0,,0.0
