Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,50.26345580687939,-1038.9923226536991,424.77757039833807,359.72404730617603,304.75416075606444,681.3132517889095,2980.989814019779,5.2280316356718535
No Battery,-232.05060118328294,-1061.2467043764382,469.4720558869792,359.72404730617603,0.0,594.4060406629351,2919.0461841862525,5.778117610916667
Time Of Use,190.85723984529898,-1133.3062432670838,605.5754414192709,359.72404730617603,358.8639943869359,490.7730043158651,2860.362375131793,7.4532362020833345
Price Based,-16.465162446333267,-1016.7604173900429,598.5195375690105,359.72404730617603,42.05167006852312,621.5971359632673,2944.432803615468,7.366394308541667
Solar Following,626.7477787585481,-877.4552934986573,822.6935614010673,359.72404730617603,321.78546354996195,935.4155756333811,3293.115457104619,10.125459217243906
Peak Shaving,177.73340515991845,-1010.2015493626034,713.699846739693,359.72404730617603,114.51106047665276,711.9133696948053,3056.0078784358348,8.7839981137193
