Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,3689.1958512193646,2460.4740392642457,695.6175684198272,371.71484888304866,161.3893946522429,2323.2063770145123,106.07900182968613,8.561446995936334
No Battery,3533.903234564498,2429.936302348116,732.2520833333333,371.71484888304866,0.0,2248.382845064049,42.08143882502252,9.012333333333332
Time Of Use,3670.2700978445732,2450.6450800065895,767.6432291666666,371.71484888304866,80.26693978826859,2237.044732924782,42.08143882502252,9.447916666666666
Price Based,3620.8332644145876,2478.0118186317413,732.2520833333333,371.71484888304866,38.854513566464256,2239.5642331773743,42.08143882502252,9.012333333333332
Solar Following,3596.7552638896045,2458.4713913205815,732.2520833333333,371.71484888304866,34.31694035264117,2286.7694175718443,79.95473376754263,9.012333333333332
Peak Shaving,3547.9447769732324,2434.5847769302427,732.2520833333333,371.71484888304866,9.393067826607826,2260.4960940631768,50.84167388502248,9.012333333333332
