timestamps,soc,price,action_normalized,battery_power_kw,grid_power_kw,reward,total_cost_cumulative,household_consumption_kwh,grid_cost_term,peak_penalty_term,battery_cost_term,arbitrage_bonus_term,soc_action_penalty_term
2024-06-02 04:45:00+00:00,0.5970358,1.762,-0.10653296858072281,1.065329685807228,1.929329685807228,-10.903918636403798,411.72117006213244,0.864,-0.8498697265980839,0.0,-11.38571101706475,1.331662107259035,0.0
2024-06-02 05:00:00+00:00,0.5990157,2.041,-0.01834007352590561,0.1834007352590561,1.047400735259056,-2.2652806641732752,412.25560628729835,0.864,-0.5344362251659333,0.0,-1.960095358081162,0.22925091907382011,0.0
2024-06-02 05:15:00+00:00,0.5923038,2.32,0.05611186847090721,-0.5611186847090721,-0.05611868470907211,-6.612277692318277,412.22305745016706,0.505,0.03254883713126182,0.0,-6.6448265294495386,0.0,0.0
2024-06-02 05:30:00+00:00,0.5814962,3.08075,0.090351402759552,-0.90351402759552,-0.39851402759552,-10.392577698897172,411.91612692753836,0.505,0.30693052262872456,0.0,-10.699508221525896,0.0,0.0
2024-06-02 05:45:00+00:00,0.5754687,3.8415,0.05038965865969658,-0.5038965865969658,0.0011034134030342146,-5.968256110874166,411.91718661818527,0.505,-0.0010596906469389838,0.0,-5.967196420227227,0.0,0.0
2024-06-02 06:00:00+00:00,0.5757033,4.60225,-0.0021728272549808025,0.021728272549808025,0.526728272549808,-0.8110943702744017,412.5232204162709,0.505,-0.6060337980855884,0.0,-0.23222091287607327,0.02716034068726003,0.0
2024-06-02 06:15:00+00:00,0.57378757,5.363,0.016015583649277687,-0.16015583649277687,-0.13015583649277687,-1.7220758364788775,412.3487139784932,0.03,0.1745064377776906,0.0,-1.8965822742565681,0.0,0.0
2024-06-02 06:30:00+00:00,0.5805395,5.146750000000001,-0.06254465878009796,0.6254465878009796,0.6554465878009796,-6.746007103812918,413.1920689099344,0.03,-0.8433549314411731,0.0,-6.68446040712297,0.7818082347512245,0.0
2024-06-02 06:45:00+00:00,0.59762955,4.9305,-0.1583075076341629,1.583075076341629,1.613075076341629,-16.928587698949723,415.18038557591,0.03,-1.9883166659756006,0.0,-16.91911487840116,1.9788438454270363,0.0
2024-06-02 07:00:00+00:00,0.6161413,4.71425,-0.17147746682167053,1.7147746682167053,1.7447746682167053,-18.239511926205306,417.23671157082015,0.03,-2.056325994910151,0.0,-18.326654266566038,2.1434683352708817,0.0
2024-06-02 07:15:00+00:00,0.6326768,4.498,-0.1531704217195511,1.5317042171955109,1.5387042171955108,-16.185731442018987,418.9669844630565,0.007,-1.730272892236352,0.0,-16.370088821277022,1.9146302714943886,0.0
2024-06-02 07:30:00+00:00,0.6494606,3.6390000000000002,-0.15547160804271698,1.5547160804271698,1.5617160804271697,-16.09340421320003,420.3877556672251,0.007,-1.4207712041686178,0.0,-16.616028109565377,1.9433951005339622,0.0
2024-06-02 07:45:00+00:00,0.6556842,2.7800000000000002,-0.05764950066804886,0.5764950066804886,0.5834950066804886,-5.84620065519005,420.79328469686806,0.007,-0.40552902964293963,0.0,-6.161290383897722,0.7206187583506107,0.0
2024-06-02 08:00:00+00:00,0.6523545,1.9210000000000003,0.027835926041007042,-0.2783592604100704,-0.2713592604100704,-3.166039377938898,420.6629644120561,0.007,0.13032028481193633,0.0,-3.2963596627508345,0.0,0.0
2024-06-02 08:15:00+00:00,0.6550936,1.062,-0.025372760370373726,0.25372760370373726,0.25372760370373726,-2.461918938737363,420.73032909083946,0.0,-0.06736467878334225,0.0,-2.711713764583692,0.3171595046296716,0.0
2024-06-02 08:30:00+00:00,0.65503913,0.7965,0.0004554656334221363,-0.004554656334221363,-0.004554656334221363,-0.053029773804806425,420.7294221448969,0.0,0.0009069459425518289,0.0,-0.05393671974735825,0.0,0.0
2024-06-02 08:45:00+00:00,0.656632,0.531,-0.014755230396986008,0.14755230396986008,0.14755230396986008,-1.4121124370675533,420.7490097132489,0.0,-0.019587568351998926,0.0,-1.5769652486778796,0.1844403799623251,0.0
2024-06-02 09:00:00+00:00,0.6548975,0.26550000000000007,0.01450064405798912,-0.1450064405798912,-0.1450064405798912,-1.7075567306894321,420.7393849107554,0.0,0.009624802493490282,0.0,-1.7171815331829223,0.0,0.0
2024-06-02 09:15:00+00:00,0.6537134,0.0,0.009899236261844635,-0.09899236261844635,-0.09799236261844635,-1.1722779783763384,420.7393849107554,0.001,0.0,0.0,-1.1722779783763384,0.0,0.0
2024-06-02 09:30:00+00:00,0.649768,0.42675,0.03298361971974373,-0.3298361971974373,-0.3288361971974373,-3.8708722550232557,420.7043021989669,0.001,0.03508271178850159,0.0,-3.9059549668117572,0.0,0.0
2024-06-02 09:45:00+00:00,0.6476249,0.8535,0.017916105687618256,-0.17916105687618256,-0.17816105687618256,-2.0836289790754168,420.6662870834559,0.001,0.038015115510955454,0.0,-2.1216440945863724,0.0,0.0
2024-06-02 10:00:00+00:00,0.65065104,1.28025,-0.028031649067997932,0.2803164906799793,0.2813164906799793,-2.7355257400905657,420.7563259427542,0.001,-0.09003885929826089,0.0,-2.995882494142279,0.35039561334997416,0.0
2024-06-02 10:15:00+00:00,0.653657,1.707,-0.02784479595720768,0.2784479595720768,0.2864479595720768,-2.7500942852088586,420.87856760950154,0.008,-0.12224166674738378,0.0,-2.9759125679265708,0.348059949465096,0.0
2024-06-02 10:30:00+00:00,0.6539771,1.491,-0.0029648798517882824,0.029648798517882824,0.037648798517882824,-0.29384412566005996,420.8926011991491,0.008,-0.014033589647540824,0.0,-0.3168715341598727,0.03706099814735353,0.0
2024-06-02 10:45:00+00:00,0.65591264,1.275,-0.01792910508811474,0.17929105088114738,0.1872910508811474,-1.7517583151591942,420.95230022161746,0.008,-0.059699022468365726,0.0,-1.9161731062922627,0.22411381360143423,0.0
2024-06-02 11:00:00+00:00,0.6507696,1.059,0.04299566522240639,-0.4299566522240639,-0.42195665222406387,-4.979878910556014,420.84058719794115,0.008,0.1117130236763209,0.0,-5.091591934232335,0.0,0.0
2024-06-02 11:15:00+00:00,0.6388366,0.843,0.09975963830947876,-0.9975963830947876,-0.9975963830947876,-11.603397941016837,420.6303437602039,0.0,0.21024343773722648,0.0,-11.813641378754063,0.0,0.0
2024-06-02 11:30:00+00:00,0.63662827,0.605,0.01846173219382763,-0.1846173219382763,-0.1846173219382763,-2.1583343898522127,420.60242039026076,0.0,0.02792336994316429,0.0,-2.186257759795377,0.0,0.0
2024-06-02 11:45:00+00:00,0.6360815,0.367,0.004571171943098307,-0.04571171943098307,-0.04571171943098307,-0.5371289430038488,420.59822634000295,0.0,0.004194050257792696,0.0,-0.5413229932616416,0.0,0.0
