Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,3571.0839410007547,2271.515945478556,806.69012452621,335.742444152431,157.13542684355778,1815.8891474779437,199.32068166245293,9.928493840322584
No Battery,3463.29370593094,2284.291365945176,843.2598958333333,335.742444152431,0.0,1793.2311292484717,184.63779662524985,10.378583333333333
Time Of Use,4258.119535874459,2490.2342777383424,1097.0740769228908,335.742444152431,335.0687370607952,1947.2296226997344,380.87558880810525,13.5024501775125
Price Based,3723.971211758704,2390.261752154213,913.9986518345312,335.742444152431,83.96836361752902,1801.8867554426768,196.26263959955898,11.249214176425
Solar Following,3696.8401986958843,2375.3311985286814,844.0605171783625,335.742444152431,141.70603883640996,1939.9877316413106,352.7835027577623,10.388437134502922
Peak Shaving,3667.386484858006,2347.4075331810513,844.7223958333333,335.742444152431,139.51411169119064,1937.0068463473779,350.8934388401022,10.396583333333332
