Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,3689.1958512193646,2460.4740392642457,695.6175684198272,371.71484888304866,161.3893946522429,2323.2063770145123,106.07900182968613,8.561446995936334
No Battery,3533.903234564498,2429.936302348116,732.2520833333333,371.71484888304866,0.0,2248.382845064049,42.08143882502252,9.012333333333332
Time Of Use,3808.098986456169,2479.2182358882956,831.1093239989583,371.71484888304866,126.05657768586653,2267.5600919294056,77.81177806276065,10.229037833833333
Price Based,3645.737053999456,2499.609746066862,732.2520833327935,371.71484888304866,42.16037571675177,2263.9939521175584,58.09305854980319,9.012333333326689
Solar Following,3612.130275650406,2465.051587779641,732.2520833333333,371.71484888304866,43.111755654382996,2296.5881771551662,89.68000818808626,9.012333333333332
Peak Shaving,3727.884141876714,2403.5291061577045,827.7497137009838,371.71484888304866,124.89047313497709,2269.087469255539,78.62322094505578,10.187688784012108
