timestamps,soc,price,action_normalized,battery_power_kw,grid_power_kw,reward,total_cost_cumulative,household_consumption_kw,grid_cost_term,peak_penalty_term,battery_cost_term,arbitrage_bonus_term,soc_action_penalty_term,current_solar_production_kw
2024-04-10 11:15:00+02:00,0.9,0.0,-0.2386327087879181,-0.0,0.6279527250000001,-23.86327087879181,3383.5854979062774,2.673,-0.0,0.0,-0.0,0.0,-23.86327087879181,2.045047275
2024-04-10 11:30:00+02:00,0.9,-0.026,-0.24295085668563843,-0.0,0.6279527250000001,-24.291003975851343,3383.581416213565,2.673,0.0040816927125000005,0.0,-0.0,0.0,-24.295085668563843,2.045047275
2024-04-10 11:45:00+02:00,0.9,-0.052,-0.249200239777565,-0.0,0.6279527250000001,-24.9118605923315,3383.5732528281396,2.673,0.008163385425000001,0.0,-0.0,0.0,-24.9200239777565,2.045047275
2024-04-10 12:00:00+02:00,0.9,-0.078,-0.2885810136795044,-0.0,0.6279527250000001,-28.84585628981294,3383.5610077500023,2.673,0.012245078137500002,0.0,-0.0,0.0,-28.85810136795044,2.045047275
2024-04-10 12:15:00+02:00,0.9,-0.104,-0.3373517394065857,-0.0,0.26213937499999984,-33.72835831690857,3383.5541921262525,2.516,0.006815623749999996,0.0,-0.0,0.0,-33.73517394065857,2.253860625
2024-04-10 12:30:00+02:00,0.9,-0.50825,-0.3767358958721161,-0.0,0.26213937499999984,-37.64028150287567,3383.5208840419164,2.516,0.03330808433593748,0.0,-0.0,0.0,-37.67358958721161,2.253860625
2024-04-10 12:45:00+02:00,0.9,-0.9125,-0.3652302026748657,-0.0,0.26213937499999984,-36.463219722564695,3383.4610834969944,2.516,0.05980054492187496,0.0,-0.0,0.0,-36.52302026748657,2.253860625
2024-04-10 13:00:00+02:00,0.9,-1.31675,-0.29200097918510437,-0.0,0.26213937499999984,-29.113804913002625,3383.3747904914867,2.516,0.08629300550781245,0.0,-0.0,0.0,-29.200097918510437,2.253860625
2024-04-10 13:15:00+02:00,0.9,-1.721,-0.20608852803707123,-0.0,-1.9153258999999998,-21.432921772182123,3384.1988594599616,1.494,-0.824068968475,0.0,-0.0,0.0,-20.608852803707123,3.4093259
2024-04-10 13:30:00+02:00,0.9,-1.87425,-0.14957980811595917,-0.0,-1.9153258999999998,-15.855430703614667,3385.0963093519804,1.494,-0.8974498920187499,0.0,-0.0,0.0,-14.957980811595917,3.4093259
2024-04-10 13:45:00+02:00,0.9,-2.0275,-0.1646513193845749,-0.0,-1.9153258999999998,-17.43596275401999,3386.0671401675427,1.494,-0.9708308155624998,0.0,-0.0,0.0,-16.46513193845749,3.4093259
2024-04-10 14:00:00+02:00,0.9,-2.18075,-0.19611865282058716,-0.0,-1.9153258999999998,-20.656077021164965,3387.111351906649,1.494,-1.04421173910625,0.0,-0.0,0.0,-19.611865282058716,3.4093259
2024-04-10 14:15:00+02:00,0.9,-2.334,-0.13945215940475464,-0.0,-0.4474554750000004,-14.206306210137964,3387.3724421763113,1.883,-0.2610902696625002,0.0,-0.0,0.0,-13.945215940475464,2.3304554750000004
2024-04-10 14:30:00+02:00,0.9,-2.3512500000000003,-0.18922127783298492,-0.0,-0.4474554750000004,-19.18514770469693,3387.63546209771,1.883,-0.2630199213984378,0.0,-0.0,0.0,-18.922127783298492,2.3304554750000004
2024-04-10 14:45:00+02:00,0.9,-2.3685,-0.17943458259105682,-0.0,-0.4474554750000004,-18.20840783224006,3387.9004116708443,1.883,-0.2649495731343752,0.0,-0.0,0.0,-17.943458259105682,2.3304554750000004
2024-04-10 15:00:00+02:00,0.9,-2.38575,-0.1718083620071411,-0.0,-0.4474554750000004,-17.447715425584423,3388.167290895715,1.883,-0.2668792248703127,0.0,-0.0,0.0,-17.18083620071411,2.3304554750000004
2024-04-10 15:15:00+02:00,0.9,-2.403,-0.21092219650745392,-0.0,-1.6389298749999999,-22.07680677315164,3389.151878018121,0.296,-0.9845871224062499,0.0,-0.0,0.0,-21.092219650745392,1.934929875
2024-04-10 15:30:00+02:00,0.9,-2.4057500000000003,-0.2207881063222885,-0.0,-1.6389298749999999,-23.064524518924163,3390.1375919048164,0.296,-0.9857138866953126,0.0,-0.0,0.0,-22.07881063222885,1.934929875
2024-04-10 15:45:00+02:00,0.9,-2.4085,-0.22618819773197174,-0.0,-1.6389298749999999,-23.60566042418155,3391.124432555801,0.296,-0.9868406509843749,0.0,-0.0,0.0,-22.618819773197174,1.934929875
2024-04-10 16:00:00+02:00,0.9,-2.41125,-0.21248197555541992,-0.0,-1.6389298749999999,-22.23616497081543,3392.1123999710744,0.296,-0.9879674152734373,0.0,-0.0,0.0,-21.248197555541992,1.934929875
2024-04-10 16:15:00+02:00,0.9,-2.414,-0.17500343918800354,-0.0,-1.0720001749999999,-18.147296024412853,3392.759352076687,0.606,-0.6469521056124999,0.0,-0.0,0.0,-17.500343918800354,1.678000175
2024-04-10 16:30:00+02:00,0.9,-2.362,-0.11485149711370468,-0.0,-1.0720001749999999,-12.118165814707968,3393.3923681800243,0.606,-0.6330161033374999,0.0,-0.0,0.0,-11.485149711370468,1.678000175
2024-04-10 16:45:00+02:00,0.9,-2.31,-0.06127702444791794,-0.0,-1.0720001749999999,-6.746782545854294,3394.011448281087,0.606,-0.6190801010625,0.0,-0.0,0.0,-6.127702444791794,1.678000175
2024-04-10 17:00:00+02:00,0.9,-2.258,-0.019140148535370827,-0.0,-1.0720001749999999,-2.5191589523245828,3394.6165923798744,0.606,-0.6051440987875,0.0,-0.0,0.0,-1.9140148535370827,1.678000175
2024-04-10 17:15:00+02:00,0.891433,-2.206,0.07162018120288849,-0.7162018120288849,-2.678710562028885,-5.71797749881417,3396.0939012548333,0.406,-1.47730887495893,0.0,-4.24066862385524,0.0,0.0,2.36850875
2024-04-10 17:30:00+02:00,0.8794132,-2.2119999999999997,0.10048539936542511,-1.004853993654251,-2.967362743654251,-7.5907449807199185,3397.7348528520743,0.406,-1.6409515972408006,0.0,-5.949793383479118,0.0,0.0,2.36850875
