date,temperature_2m,cloud_cover,relative_humidity_2m,wind_speed_100m,wind_direction_100m,shortwave_radiation_sum
2025-05-13 00:00:00+00:00,8.411,93.0,76.0,18.861,256.759,12.58
2025-05-13 01:00:00+00:00,8.061,98.0,80.0,13.325,271.548,12.58
2025-05-13 02:00:00+00:00,8.161,100.0,86.0,7.654,311.186,12.58
2025-05-13 03:00:00+00:00,8.461,100.0,91.0,7.928,2.603,12.58
2025-05-13 04:00:00+00:00,8.861,100.0,91.0,7.569,25.346,12.58
2025-05-13 05:00:00+00:00,10.311,100.0,84.0,6.41,51.843,12.58
2025-05-13 06:00:00+00:00,11.511,100.0,74.0,6.379,73.61,12.58
2025-05-13 07:00:00+00:00,13.111,100.0,65.0,7.422,75.964,12.58
2025-05-13 08:00:00+00:00,15.361,98.0,57.0,8.209,74.745,12.58
2025-05-13 09:00:00+00:00,16.811,94.0,48.0,8.891,68.629,12.58
2025-05-13 10:00:00+00:00,18.461,99.0,40.0,9.826,61.557,12.58
2025-05-13 11:00:00+00:00,19.811,100.0,38.0,10.884,55.784,12.58
2025-05-13 12:00:00+00:00,20.111,100.0,35.0,11.593,53.842,12.58
2025-05-13 13:00:00+00:00,19.061,100.0,36.0,11.61,60.255,12.58
2025-05-13 14:00:00+00:00,18.111,100.0,35.0,11.276,73.301,12.58
2025-05-13 15:00:00+00:00,15.811,100.0,57.0,10.465,86.055,12.58
2025-05-13 16:00:00+00:00,15.011,100.0,65.0,9.256,103.496,12.58
2025-05-13 17:00:00+00:00,13.561,100.0,78.0,8.496,126.384,12.58
2025-05-13 18:00:00+00:00,13.211,100.0,83.0,8.217,151.189,12.58
2025-05-13 19:00:00+00:00,12.461,100.0,84.0,8.64,180.0,12.58
2025-05-13 20:00:00+00:00,11.411,97.0,86.0,10.788,205.71,12.58
2025-05-13 21:00:00+00:00,10.711,92.0,89.0,10.949,226.332,12.58
2025-05-13 22:00:00+00:00,9.911,88.0,91.0,9.422,263.418,19.44
2025-05-13 23:00:00+00:00,10.611,100.0,91.0,12.497,311.496,19.44
