date,temperature_2m,cloud_cover,relative_humidity_2m,wind_speed_100m,wind_direction_100m,shortwave_radiation_sum
2025-05-21 00:00:00+00:00,11.561,100.0,43.0,10.8,180.0,4.61
2025-05-21 01:00:00+00:00,10.361,99.0,49.0,8.217,208.811,4.61
2025-05-21 02:00:00+00:00,9.661,100.0,49.0,7.993,262.235,4.61
2025-05-21 03:00:00+00:00,9.911,100.0,47.0,9.905,289.094,4.61
2025-05-21 04:00:00+00:00,9.711,100.0,54.0,7.993,305.838,4.61
2025-05-21 05:00:00+00:00,9.461,100.0,64.0,4.735,351.254,4.61
2025-05-21 06:00:00+00:00,9.611,100.0,67.0,6.878,42.879,4.61
2025-05-21 07:00:00+00:00,9.761,100.0,75.0,10.8,53.13,4.61
2025-05-21 08:00:00+00:00,9.161,100.0,83.0,15.077,56.689,4.61
2025-05-21 09:00:00+00:00,8.711,100.0,88.0,18.585,58.465,4.61
2025-05-21 10:00:00+00:00,9.511,100.0,88.0,21.093,62.56,4.61
2025-05-21 11:00:00+00:00,9.261,100.0,87.0,23.211,66.218,4.61
2025-05-21 12:00:00+00:00,9.461,100.0,87.0,25.006,67.126,4.61
2025-05-21 13:00:00+00:00,9.361,100.0,85.0,26.099,65.556,4.61
2025-05-21 14:00:00+00:00,9.361,100.0,82.0,26.749,61.02,4.61
2025-05-21 15:00:00+00:00,9.361,100.0,76.0,26.759,56.524,4.61
2025-05-21 16:00:00+00:00,8.911,100.0,77.0,25.772,48.965,4.61
2025-05-21 17:00:00+00:00,8.211,100.0,82.0,24.57,39.053,4.61
2025-05-21 18:00:00+00:00,7.511,100.0,88.0,24.882,31.39,4.61
2025-05-21 19:00:00+00:00,6.961,100.0,90.0,26.302,30.426,4.61
2025-05-21 20:00:00+00:00,6.661,100.0,91.0,27.971,31.849,4.61
2025-05-21 21:00:00+00:00,6.511,100.0,92.0,29.08,31.329,4.61
2025-05-21 22:00:00+00:00,6.411,100.0,92.0,29.302,26.25,2.32
2025-05-21 23:00:00+00:00,6.211,100.0,92.0,29.599,18.435,2.32
2025-05-22 00:00:00+00:00,6.111,100.0,92.0,30.124,14.534,2.32
2025-05-22 01:00:00+00:00,6.061,100.0,92.0,31.206,16.763,2.32
2025-05-22 02:00:00+00:00,6.061,100.0,92.0,32.155,21.682,2.32
