date,temperature_2m,cloud_cover,relative_humidity_2m,wind_speed_100m,wind_direction_100m,shortwave_radiation_sum
2025-05-22 00:00:00+00:00,6.111,100.0,91.0,29.656,10.491,2.24
2025-05-22 01:00:00+00:00,6.061,100.0,92.0,30.244,8.902,2.24
2025-05-22 02:00:00+00:00,5.861,100.0,93.0,30.956,8.695,2.24
2025-05-22 03:00:00+00:00,6.061,100.0,91.0,30.903,8.036,2.24
2025-05-22 04:00:00+00:00,5.911,100.0,93.0,29.986,4.821,2.24
2025-05-22 05:00:00+00:00,5.711,100.0,93.0,28.802,359.284,2.24
2025-05-22 06:00:00+00:00,5.811,100.0,92.0,27.804,355.544,2.24
2025-05-22 07:00:00+00:00,5.811,100.0,91.0,27.869,354.069,2.24
2025-05-22 08:00:00+00:00,6.061,100.0,91.0,28.227,354.144,2.24
2025-05-22 09:00:00+00:00,6.411,100.0,89.0,26.836,353.066,2.24
2025-05-22 10:00:00+00:00,6.761,100.0,89.0,22.314,349.778,2.24
2025-05-22 11:00:00+00:00,7.111,100.0,89.0,16.622,342.35,2.24
2025-05-22 12:00:00+00:00,7.361,100.0,89.0,11.486,327.804,2.24
2025-05-22 13:00:00+00:00,7.511,100.0,88.0,8.217,298.811,2.24
2025-05-22 14:00:00+00:00,7.761,100.0,87.0,8.05,259.695,2.24
2025-05-22 15:00:00+00:00,7.911,100.0,87.0,9.793,233.973,2.24
2025-05-22 16:00:00+00:00,7.811,100.0,89.0,11.247,219.806,2.24
2025-05-22 17:00:00+00:00,7.511,100.0,92.0,11.924,208.886,2.24
2025-05-22 18:00:00+00:00,7.461,100.0,93.0,12.413,196.858,2.24
2025-05-22 19:00:00+00:00,7.161,87.0,92.0,13.339,183.094,2.24
2025-05-22 20:00:00+00:00,6.561,91.0,93.0,14.619,170.074,2.24
2025-05-22 21:00:00+00:00,6.461,99.0,92.0,16.312,157.964,2.24
2025-05-22 22:00:00+00:00,6.711,100.0,96.0,19.273,147.2,9.73
2025-05-22 23:00:00+00:00,7.111,99.0,96.0,22.726,139.497,9.73
2025-05-23 00:00:00+00:00,7.111,81.0,94.0,24.443,133.807,9.73
2025-05-23 01:00:00+00:00,7.261,100.0,93.0,22.323,127.794,9.73
2025-05-23 02:00:00+00:00,7.361,100.0,94.0,18.399,120.579,9.73
2025-05-23 03:00:00+00:00,7.511,100.0,92.0,16.422,116.003,9.73
2025-05-23 04:00:00+00:00,7.461,100.0,91.0,18.279,122.125,9.73
2025-05-23 05:00:00+00:00,7.361,100.0,84.0,22.265,129.094,9.73
2025-05-23 06:00:00+00:00,7.361,100.0,80.0,25.476,132.709,9.73
2025-05-23 07:00:00+00:00,7.661,100.0,86.0,26.319,130.006,9.73
2025-05-23 08:00:00+00:00,8.261,100.0,88.0,26.868,125.181,9.73
2025-05-23 09:00:00+00:00,8.611,100.0,90.0,26.562,122.829,9.73
2025-05-23 10:00:00+00:00,9.211,100.0,88.0,26.868,125.181,9.73
2025-05-23 11:00:00+00:00,10.061,99.0,81.0,27.103,129.611,9.73
2025-05-23 12:00:00+00:00,10.761,100.0,75.0,25.233,137.891,9.73
2025-05-23 13:00:00+00:00,10.961,100.0,72.0,21.325,158.199,9.73
2025-05-23 14:00:00+00:00,11.011,100.0,70.0,20.833,189.951,9.73
2025-05-23 15:00:00+00:00,10.861,100.0,72.0,24.48,208.072,9.73
2025-05-23 16:00:00+00:00,10.661,93.0,69.0,25.772,208.355,9.73
2025-05-23 17:00:00+00:00,10.311,37.0,64.0,25.872,201.209,9.73
2025-05-23 18:00:00+00:00,9.861,16.0,65.0,25.583,193.841,9.73
2025-05-23 19:00:00+00:00,8.961,3.0,74.0,25.364,186.52,9.73
2025-05-23 20:00:00+00:00,7.811,2.0,89.0,25.203,179.182,9.73
2025-05-23 21:00:00+00:00,7.461,10.0,94.0,25.292,175.101,9.73
2025-05-23 22:00:00+00:00,7.261,25.0,93.0,25.942,177.614,22.99
2025-05-23 23:00:00+00:00,7.111,21.0,90.0,27.06,183.814,22.99
2025-05-24 00:00:00+00:00,6.711,23.0,92.0,27.645,188.236,22.99
2025-05-24 01:00:00+00:00,6.961,39.0,94.0,26.988,189.211,22.99
2025-05-24 02:00:00+00:00,7.261,77.0,93.0,25.568,189.728,22.99
2025-05-24 03:00:00+00:00,7.761,100.0,89.0,25.213,189.866,22.99
2025-05-24 04:00:00+00:00,8.361,100.0,85.0,26.339,190.235,22.99
2025-05-24 05:00:00+00:00,9.061,95.0,84.0,28.595,190.885,22.99
2025-05-24 06:00:00+00:00,9.861,100.0,81.0,30.077,191.041,22.99
2025-05-24 07:00:00+00:00,10.511,99.0,79.0,30.364,190.244,22.99
2025-05-24 08:00:00+00:00,10.55,22.0,64.0,30.302,189.574,22.99
2025-05-24 09:00:00+00:00,11.15,7.0,61.0,29.889,189.008,22.99
2025-05-24 10:00:00+00:00,11.6,2.0,59.0,29.889,189.008,22.99
2025-05-24 11:00:00+00:00,11.95,0.0,57.0,29.947,189.689,22.99
2025-05-24 12:00:00+00:00,12.2,0.0,56.0,29.533,189.118,22.99
2025-05-24 13:00:00+00:00,12.3,0.0,55.0,28.31,187.306,22.99
2025-05-24 14:00:00+00:00,12.3,0.0,55.0,26.701,183.865,22.99
2025-05-24 15:00:00+00:00,12.05,0.0,57.0,24.843,180.83,22.99
2025-05-24 16:00:00+00:00,11.4,0.0,62.0,22.691,178.182,22.99
2025-05-24 17:00:00+00:00,10.5,0.0,69.0,20.57,175.986,22.99
2025-05-24 18:00:00+00:00,9.55,0.0,76.0,19.202,173.541,22.99
2025-05-24 19:00:00+00:00,8.4,2.0,83.0,19.771,169.509,22.99
2025-05-24 20:00:00+00:00,7.2,5.0,89.0,21.567,165.5,22.99
2025-05-24 21:00:00+00:00,6.3,8.0,94.0,23.144,164.667,22.99
2025-05-24 22:00:00+00:00,5.9,10.0,96.0,23.749,165.964,27.37
2025-05-24 23:00:00+00:00,5.85,13.0,96.0,24.15,169.695,27.37
2025-05-25 00:00:00+00:00,5.85,17.0,96.0,24.387,171.511,27.37
2025-05-25 01:00:00+00:00,5.7,25.0,97.0,24.031,171.384,27.37
2025-05-25 02:00:00+00:00,5.6,35.0,98.0,23.378,170.248,27.37
2025-05-25 03:00:00+00:00,6.05,39.0,97.0,21.96,169.611,27.37
2025-05-25 04:00:00+00:00,7.4,31.0,93.0,18.585,171.085,27.37
2025-05-25 05:00:00+00:00,9.3,17.0,86.0,14.44,175.711,27.37
2025-05-25 06:00:00+00:00,11.0,6.0,79.0,12.605,181.637,27.37
2025-05-25 07:00:00+00:00,12.25,3.0,71.0,14.778,182.793,27.37
2025-05-25 08:00:00+00:00,13.25,3.0,61.0,19.094,182.161,27.37
2025-05-25 09:00:00+00:00,13.95,3.0,55.0,22.706,182.726,27.37
2025-05-25 10:00:00+00:00,14.25,2.0,53.0,25.292,184.899,27.37
2025-05-25 11:00:00+00:00,14.3,1.0,54.0,27.551,186.753,27.37
2025-05-25 12:00:00+00:00,14.15,0.0,55.0,29.024,187.125,27.37
2025-05-25 13:00:00+00:00,13.9,0.0,56.0,29.697,186.263,27.37
2025-05-25 14:00:00+00:00,13.5,0.0,57.0,29.958,184.135,27.37
2025-05-25 15:00:00+00:00,12.95,0.0,59.0,29.169,181.414,27.37
2025-05-25 16:00:00+00:00,12.3,6.0,63.0,26.369,175.301,27.37
2025-05-25 17:00:00+00:00,11.5,13.0,67.0,23.4,165.75,27.37
2025-05-25 18:00:00+00:00,10.7,19.0,72.0,22.462,158.369,27.37
2025-05-25 19:00:00+00:00,9.8,20.0,77.0,24.144,159.944,27.37
2025-05-25 20:00:00+00:00,8.9,20.0,82.0,27.0,163.74,27.37
2025-05-25 21:00:00+00:00,8.35,21.0,84.0,29.251,166.477,27.37
2025-05-25 22:00:00+00:00,8.3,25.0,82.0,29.686,165.964,19.57
2025-05-25 23:00:00+00:00,8.6,30.0,78.0,29.275,163.571,19.57
