date,temperature_2m,cloud_cover,relative_humidity_2m,wind_speed_100m,wind_direction_100m,shortwave_radiation_sum
2025-05-24 00:00:00+00:00,6.261,30.0,89.0,27.685,192.771,25.56
2025-05-24 01:00:00+00:00,5.961,34.0,89.0,27.156,194.589,25.56
2025-05-24 02:00:00+00:00,5.561,18.0,88.0,26.208,195.945,25.56
2025-05-24 03:00:00+00:00,5.611,19.0,89.0,25.862,196.165,25.56
2025-05-24 04:00:00+00:00,6.611,23.0,84.0,26.369,194.226,25.56
2025-05-24 05:00:00+00:00,8.061,68.0,76.0,27.182,191.459,25.56
2025-05-24 06:00:00+00:00,9.261,65.0,71.0,28.112,189.583,25.56
2025-05-24 07:00:00+00:00,10.461,59.0,62.0,28.822,189.345,25.56
2025-05-24 08:00:00+00:00,11.811,46.0,57.0,29.889,189.008,25.56
2025-05-24 09:00:00+00:00,13.011,12.0,48.0,30.547,188.13,25.56
2025-05-24 10:00:00+00:00,14.411,29.0,51.0,31.526,186.557,25.56
2025-05-24 11:00:00+00:00,14.561,41.0,50.0,32.472,183.814,25.56
2025-05-24 12:00:00+00:00,14.911,30.0,52.0,32.778,181.888,25.56
2025-05-24 13:00:00+00:00,15.061,32.0,47.0,32.76,180.0,25.56
2025-05-24 14:00:00+00:00,14.661,20.0,48.0,32.058,178.069,25.56
2025-05-24 15:00:00+00:00,14.561,12.0,47.0,30.317,175.914,25.56
2025-05-24 16:00:00+00:00,14.261,0.0,45.0,26.988,170.789,25.56
2025-05-24 17:00:00+00:00,13.411,1.0,49.0,23.242,163.811,25.56
2025-05-24 18:00:00+00:00,12.261,3.0,57.0,20.858,158.749,25.56
2025-05-24 19:00:00+00:00,11.061,3.0,64.0,20.381,162.525,25.56
2025-05-24 20:00:00+00:00,9.761,7.0,71.0,21.543,170.38,25.56
2025-05-24 21:00:00+00:00,8.711,11.0,79.0,22.751,175.462,25.56
2025-05-24 22:00:00+00:00,8.011,3.0,82.0,23.11,175.533,21.21
2025-05-24 23:00:00+00:00,7.461,2.0,86.0,23.577,172.984,21.21
2025-05-25 00:00:00+00:00,7.011,1.0,87.0,23.733,170.395,21.21
2025-05-25 01:00:00+00:00,6.661,2.0,89.0,23.314,166.607,21.21
2025-05-25 02:00:00+00:00,6.211,9.0,91.0,22.896,163.56,21.21
2025-05-25 03:00:00+00:00,6.661,78.0,92.0,22.314,162.15,21.21
2025-05-25 04:00:00+00:00,7.611,100.0,92.0,21.398,167.367,21.21
2025-05-25 05:00:00+00:00,8.711,100.0,88.0,20.548,176.987,21.21
2025-05-25 06:00:00+00:00,9.911,97.0,83.0,20.908,182.961,21.21
2025-05-25 07:00:00+00:00,11.411,73.0,74.0,21.627,182.862,21.21
2025-05-25 08:00:00+00:00,13.011,47.0,66.0,23.043,179.105,21.21
2025-05-25 09:00:00+00:00,14.211,49.0,58.0,24.522,176.634,21.21
2025-05-25 10:00:00+00:00,14.861,45.0,51.0,26.042,174.447,21.21
2025-05-25 11:00:00+00:00,15.211,33.0,50.0,27.596,172.504,21.21
2025-05-25 12:00:00+00:00,15.511,31.0,52.0,29.071,172.171,21.21
2025-05-25 13:00:00+00:00,14.511,89.0,63.0,29.697,173.737,21.21
