Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,1015.162772935302,-189.68551414191006,455.6236947047835,359.72404730617603,389.5005450662525,712.0431452084995,1584.3838363801174,5.607676242520412
No Battery,565.3746903571448,-226.7724879598776,432.42313101084636,359.72404730617603,0.0,641.6774286468727,1556.788476439749,5.322130843210417
Time Of Use,679.4889403113368,-225.27021852531288,536.7008729419572,359.72404730617603,8.334238588516406,642.4493112705562,1556.788476439749,6.605549205439473
Price Based,574.2274747290368,-224.2044930737452,432.42313101084636,359.72404730617603,6.284789485759601,637.2897031734788,1556.788476439749,5.322130843210417
Solar Following,1064.8190929774805,-134.18603380111153,626.1325599654139,359.72404730617603,213.1485195070021,863.1052328285919,1809.0240489402622,7.706246891882017
Peak Shaving,711.0351067721525,-211.82060979916525,512.6698652359374,359.72404730617603,50.46180402920422,692.6755634243389,1617.9276839494057,6.3097829567499994
