Strategy,Total Bill (SEK),Energy Cost (SEK),Capacity Fee (SEK),Fixed Fee (SEK),Battery Cost (SEK),Consumption (kWh),Export (kWh),Avg Peak (kW)
RL Agent,3633.2302700824016,2424.0436560463077,648.8874210481439,371.71484888304866,188.58434410490133,2319.466145401024,101.01562057092141,7.98630672059254
No Battery,3533.903234564498,2429.936302348116,732.2520833333333,371.71484888304866,0.0,2248.382845064049,42.08143882502252,9.012333333333332
Time Of Use,4697.855204280894,2719.68657034836,1235.6921619994791,371.71484888304866,370.7616230500062,2350.4248555064964,190.42764084058462,15.208518916916667
Price Based,3784.4050004343158,2523.048411786105,821.3833333333333,371.71484888304866,68.2584064318291,2267.229229788293,62.10790810498006,10.109333333333334
Solar Following,3605.958110723537,2463.1356526137674,732.2520833333333,371.71484888304866,38.85552589338809,2292.647019335439,84.16287765004505,9.012333333333332
Peak Shaving,3584.9616580986713,2443.732211901035,732.2520833333333,371.71484888304866,37.26251398125434,2289.1069928640363,84.16287765004505,9.012333333333332
